"","x"
"1",189
"2",48
"3",658
"4",116
"5",178
"6",222
"7",55
"8",50
"9",141
"10",264
"11",160
"12",301
"13",207
"14",256
"15",36
"16",292
"17",67
"18",93
"19",134
"20",29
"21",134
"22",96
"23",72
"24",85
"25",516
"26",42
"27",120
"28",13
"29",76
"30",90
"31",694
"32",57
"33",62
"34",37
"35",178
"36",471
"37",45
"38",97
"39",582
"40",75
"41",295
"42",219
"43",40
"44",501
"45",329
"46",91
"47",60
"48",100
"49",335
"50",84
"51",23
"52",129
"53",321
"54",47
"55",117
"56",44
"57",167
"58",130
"59",143
"60",80
"61",73
"62",355
"63",165
"64",123
"65",6
"66",41
"67",318
"68",99
"69",44
"70",96
"71",102
"72",90
"73",244
"74",679
"75",399
"76",516
"77",107
"78",345
"79",56
"80",129
"81",1320
"82",147
"83",109
"84",83
"85",321
"86",1219
"87",224
"88",114
"89",1181
"90",68
"91",460
"92",97
"93",53
"94",502
"95",25
"96",109
"97",151
"98",95
"99",29
"100",78
"101",31
"102",1016
"103",23
"104",18
"105",298
"106",368
"107",122
"108",121
"109",306
"110",601
"111",30
"112",547
"113",181
"114",106
"115",526
"116",380
"117",533
"118",111
"119",323
"120",199
"121",88
"122",860
"123",174
"124",141
"125",252
"126",219
"127",73
"128",141
"129",2011
"130",138
"131",110
"132",309
"133",222
"134",87
"135",50
"136",346
"137",167
"138",240
"139",111
"140",28
"141",159
"142",1621
"143",34
"144",55
"145",39
"146",103
"147",591
"148",127
"149",115
"150",41
"151",158
"152",418
"153",1423
"154",553
"155",62
"156",90
"157",272
"158",147
"159",195
"160",40
"161",97
"162",59
"163",59
"164",72
"165",98
"166",148
"167",280
"168",89
"169",63
"170",747
"171",401
"172",298
"173",812
"174",56
"175",1151
"176",506
"177",202
"178",277
"179",158
"180",133
"181",31
"182",312
"183",1264
"184",1200
"185",176
"186",133
"187",178
"188",467
"189",650
"190",223
"191",452
"192",144
"193",244
"194",486
"195",5651
"196",141
"197",76
"198",232
"199",99
"200",280
"201",209
"202",553
"203",57
"204",44
"205",712
"206",186
"207",59
"208",51
"209",85
"210",268
"211",88
"212",568
"213",189
"214",181
"215",146
"216",110
"217",126
"218",472
"219",39
"220",440
"221",105
"222",309
"223",140
"224",39
"225",210
"226",78
"227",457
"228",65
"229",25
"230",63
"231",84
"232",65
"233",117
"234",82
"235",98
"236",206
"237",46
"238",317
"239",148
"240",143
"241",19
"242",110
"243",85
"244",346
"245",596
"246",508
"247",49
"248",67
"249",136
"250",51
"251",30
"252",327
"253",159
"254",274
"255",45
"256",106
"257",46
"258",65
"259",187
"260",66
"261",55
"262",40
"263",35
"264",63
"265",815
"266",77
"267",49
"268",36
"269",128
"270",100
"271",191
"272",112
"273",353
"274",305
"275",427
"276",189
"277",452
"278",137
"279",377
"280",127
"281",75
"282",44
"283",73
"284",70
"285",264
"286",141
"287",79
"288",60
"289",674
"290",117
"291",43
"292",97
"293",163
"294",341
"295",136
"296",166
"297",52
"298",329
"299",164
"300",310
"301",697
"302",177
"303",112
"304",69
"305",83
"306",59
"307",215
"308",34
"309",26
"310",76
"311",439
"312",168
"313",91
"314",290
"315",104
"316",132
"317",160
"318",441
"319",541
"320",535
"321",395
"322",206
"323",972
"324",1145
"325",560
"326",119
"327",52
"328",180
"329",85
"330",195
"331",86
"332",373
"333",1325
"334",389
"335",312
"336",154
"337",1314
"338",137
"339",588
"340",717
"341",174
"342",6
"343",107
"344",234
"345",40
"346",41
"347",367
"348",9
"349",187
"350",113
"351",77
"352",158
"353",157
"354",190
"355",168
"356",87
"357",192
"358",594
"359",289
"360",663
"361",113
"362",266
"363",246
"364",71
"365",66
"366",963
"367",65
"368",384
"369",114
"370",49
"371",32
"372",44
"373",21
"374",61
"375",393
"376",83
"377",843
"378",125
"379",58
"380",112
"381",82
"382",95
"383",158
"384",161
"385",317
"386",255
"387",323
"388",169
"389",66
"390",233
"391",224
"392",99
"393",101
"394",444
"395",567
"396",166
"397",100
"398",775
"399",43
"400",60
"401",347
"402",59
"403",363
"404",58
"405",254
"406",124
"407",362
"408",561
"409",134
"410",275
"411",25
"412",114
"413",44
"414",182
"415",146
"416",117
"417",123
"418",384
"419",127
"420",948
"421",22
"422",213
"423",1230
"424",48
"425",67
"426",100
"427",163
"428",117
"429",94
"430",1019
"431",168
"432",442
"433",8
"434",459
"435",551
"436",92
"437",119
"438",787
"439",155
"440",419
"441",267
"442",127
"443",111
"444",36
"445",17
"446",145
"447",194
"448",90
"449",279
"450",239
"451",106
"452",156
"453",542
"454",203
"455",331
"456",241
"457",833
"458",164
"459",55
"460",94
"461",188
"462",113
"463",125
"464",289
"465",68
"466",22
"467",1118
"468",229
"469",424
"470",109
"471",163
"472",17
"473",212
"474",237
"475",60
"476",87
"477",569
"478",237
"479",115
"480",215
"481",39
"482",479
"483",22
"484",54
"485",292
"486",470
"487",26
"488",271
"489",209
"490",143
"491",79
"492",63
"493",173
"494",496
"495",33
"496",52
"497",763
"498",44
"499",11
"500",151
"501",209
"502",150
"503",62
"504",209
"505",124
"506",373
"507",201
"508",297
"509",206
"510",223
"511",317
"512",15
"513",249
"514",39
"515",213
"516",553
"517",95
"518",66
"519",136
"520",724
"521",164
"522",172
"523",86
"524",88
"525",129
"526",30
"527",510
"528",106
"529",20
"530",146
"531",117
"532",25
"533",1153
"534",49
"535",38
"536",233
"537",417
"538",122
"539",186
"540",49
"541",386
"542",203
"543",164
"544",314
"545",403
"546",71
"547",240
"548",55
"549",1380
"550",234
"551",143
"552",91
"553",119
"554",49
"555",158
"556",266
"557",89
"558",66
"559",29
"560",262
"561",207
"562",120
"563",86
"564",192
"565",38
"566",34
"567",35
"568",103
"569",327
"570",303
"571",84
"572",613
"573",47
"574",91
"575",71
"576",174
"577",26
"578",485
"579",496
"580",395
"581",137
"582",472
"583",241
"584",387
"585",177
"586",199
"587",18
"588",87
"589",409
"590",164
"591",44
"592",57
"593",85
"594",1239
"595",124
"596",78
"597",18
"598",22
"599",504
"600",63
"601",751
"602",107
"603",14
"604",1330
"605",50
"606",89
"607",163
"608",132
"609",33
"610",33
"611",599
"612",73
"613",340
"614",819
"615",68
"616",73
"617",20
"618",992
"619",70
"620",102
"621",38
"622",312
"623",743
"624",186
"625",99
"626",28
"627",659
"628",296
"629",142
"630",495
"631",544
"632",93
"633",44
"634",389
"635",297
"636",90
"637",3477
"638",12
"639",147
"640",463
"641",654
"642",394
"643",172
"644",327
"645",259
"646",144
"647",62
"648",501
"649",104
"650",111
"651",191
"652",150
"653",21
"654",97
"655",274
"656",508
"657",42
"658",77
"659",13
"660",402
"661",149
"662",327
"663",85
"664",184
"665",394
"666",117
"667",347
"668",285
"669",30
"670",202
"671",12
"672",112
"673",85
"674",356
"675",199
"676",82
"677",127
"678",178
"679",54
"680",75
"681",43
"682",32
"683",88
"684",146
"685",31
"686",237
"687",76
"688",203
"689",171
"690",102
"691",21
"692",30
"693",12
"694",579
"695",103
"696",1029
"697",35
"698",653
"699",435
"700",70
"701",303
"702",265
"703",128
"704",670
"705",112
"706",1127
"707",45
"708",551
"709",88
"710",212
"711",138
"712",130
"713",136
"714",372
"715",153
"716",578
"717",166
"718",177
"719",141
"720",97
"721",183
"722",401
"723",335
"724",402
"725",839
"726",212
"727",173
"728",701
"729",139
"730",54
"731",61
"732",77
"733",35
"734",613
"735",82
"736",454
"737",1610
"738",99
"739",215
"740",83
"741",2750
"742",50
"743",482
"744",354
"745",377
"746",414
"747",274
"748",273
"749",61
"750",233
"751",102
"752",2541
"753",309
"754",344
"755",16
"756",39
"757",56
"758",83
"759",84
"760",282
"761",117
"762",110
"763",488
"764",18
"765",138
"766",352
"767",435
"768",121
"769",96
"770",124
"771",96
"772",97
"773",38
"774",122
"775",188
"776",85
"777",49
"778",29
"779",101
"780",831
"781",85
"782",79
"783",2396
"784",21
"785",171
"786",288
"787",92
"788",485
"789",332
"790",157
"791",46
"792",205
"793",108
"794",61
"795",173
"796",265
"797",137
"798",347
"799",12
"800",311
"801",84
"802",198
"803",468
"804",171
"805",162
"806",11
"807",44
"808",314
"809",36
"810",133
"811",201
"812",104
"813",63
"814",34
"815",193
"816",22
"817",59
"818",133
"819",57
"820",126
"821",351
"822",151
"823",170
"824",734
"825",133
"826",197
"827",20
"828",153
"829",69
"830",44
"831",404
"832",145
"833",382
"834",60
"835",13
"836",175
"837",381
"838",1891
"839",360
"840",429
"841",80
"842",211
"843",92
"844",226
"845",45
"846",101
"847",34
"848",155
"849",233
"850",157
"851",78
"852",117
"853",29
"854",119
"855",25
"856",146
"857",855
"858",300
"859",653
"860",574
"861",107
"862",213
"863",24
"864",363
"865",72
"866",380
"867",23
"868",467
"869",90
"870",618
"871",146
"872",78
"873",244
"874",140
"875",79
"876",61
"877",1653
"878",57
"879",260
"880",120
"881",54
"882",37
"883",33
"884",36
"885",33
"886",295
"887",117
"888",1096
"889",280
"890",771
"891",245
"892",346
"893",237
"894",99
"895",374
"896",147
"897",417
"898",67
"899",405
"900",109
"901",61
"902",22
"903",750
"904",249
"905",140
"906",298
"907",157
"908",40
"909",18
"910",121
"911",109
"912",52
"913",225
"914",108
"915",339
"916",540
"917",79
"918",62
"919",171
"920",617
"921",26
"922",64
"923",73
"924",216
"925",1609
"926",93
"927",97
"928",27
"929",52
"930",320
"931",70
"932",91
"933",104
"934",139
"935",750
"936",516
"937",1106
"938",23
"939",93
"940",421
"941",110
"942",204
"943",78
"944",23
"945",44
"946",990
"947",114
"948",887
"949",353
"950",300
"951",753
"952",30
"953",81
"954",108
"955",59
"956",115
"957",18
"958",36
"959",273
"960",189
"961",547
"962",106
"963",101
"964",97
"965",57
"966",190
"967",46
"968",244
"969",124
"970",322
"971",517
"972",98
"973",97
"974",142
"975",77
"976",737
"977",139
"978",354
"979",217
"980",611
"981",120
"982",10
"983",273
"984",53
"985",244
"986",56
"987",135
"988",85
"989",116
"990",77
"991",55
"992",181
"993",44
"994",112
"995",110
"996",78
"997",848
"998",23
"999",153
"1000",44
